| No  | Kalimat Asli                                                                                                                                                               | Pertanyaan                                        | Pilihan Jawaban                                                   | Jawaban | Terjemahan Indonesia                                                                                                                                                                                          | Pertanyaan                                       | Pilihan Jawaban                                                   | Jawaban |
| --- | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------- | ----------------------------------------------------------------- | ------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------ | ----------------------------------------------------------------- | ------- |
| 1   | The city councilmen refused the demonstrators a permit because they feared violence.                                                                                       | Snippet: they feared violence                     | A. The city councilmen; B. The demonstrators                      | A       | Anggota dewan kota menolak izin para demonstran karena mereka takut akan kekerasan                                                                                                                            | mereka takut akan kekerasan                      | A. Anggota dewan kota; B. Para demonstran                         | A       |
| 2   | The city councilmen refused the demonstrators a permit because they advocate violence.                                                                                     | Snippet: they advocated violence                  | A. The city councilmen; B. The demonstrators                      | B       | Anggota dewan kota menolak izin para demonstran karena mereka menganjurkan akan kekerasan                                                                                                                     | mereka menganjurkan akan kekerasan               | A. Anggota dewan kota; B. Para demonstran                         | B       |
| 3   | The trophy doesn't fit into the brown suitcase because it is too large.                                                                                                    | Snippet: it is too large                          | A. The trophy; B. The suitcase                                    | A       | Trofi tidak masuk ke dalam koper coklat karena itu terlalu besar                                                                                                                                              | itu terlalu besar                                | A. Piala; B. Koper                                                | A       |
| 4   | The trophy doesn't fit into the brown suitcase because it is too small.                                                                                                    | Snippet: it is too small                          | A. The trophy; B. The suitcase                                    | B       | Trofi tidak masuk ke dalam koper coklat karena itu terlalu kecil                                                                                                                                              | itu terlalu kecil                                | A. Piala; B. Koper                                                | B       |
| 5   | Joan made sure to thank Susan for all the help she had recieved.                                                                                                           | Snippet: she had received                         | A. Joan; B. Susan                                                 | A       | Joan memastikan untuk berterima kasih kepada Susan atas semua bantuan yang dia terima                                                                                                                         | dia terima                                       | A. Joan; B. Susan                                                 | A       |
| 6   | Joan made sure to thank Susan for all the help she had given.                                                                                                              | Snippet: she had given                            | A. Joan; B. Susan                                                 | B       | Joan memastikan untuk berterima kasih kepada Susan atas semua bantuan yang dia beri                                                                                                                           | dia beri                                         | A. Joan; B. Susan                                                 | B       |
| 7   | Paul tried to call George on the phone, but he wasn't successful.                                                                                                          | Snippet: he wasn't successful.                    | A. Paul; B. George                                                | A       | Paul mencoba menelepon George, tetapi dia tidak berhasil                                                                                                                                                      | dia tidak berhasil                               | A. Paul; B. George                                                | A       |
| 8   | Paul tried to call George on the phone, but he wasn't available.                                                                                                           | Snippet: he wasn't available.                     | A. Paul; B. George                                                | B       | Paul mencoba menelepon George, tetapi dia tidak tersedia                                                                                                                                                      | dia tidak tersedia                               | A. Paul; B. George                                                | B       |
| 9   | The lawyer asked the witness a question, but he was reluctant to repeat it.                                                                                                | Snippet: he was reluctant                         | A. the lawyer; B. the witness                                     | A       | Pengacara mengajukan pertanyaan kepada saksi, tetapi dia enggan mengulanginya                                                                                                                                 | dia enggan mengulanginya                         | A. pengacara; B. saksi                                            | A       |
